"Site","Year","Mean","SD","p2.5","p25","p50","p75","p97.5","Rhat","n.eff","Source","name","Par"
"FRCH","2022",-2.4246233324161,0.145649450528413,-2.70545829436891,-2.5217844232821,-2.42086013464338,-2.32882568699212,-2.1425275064931,1.00779693682632,290,"soil_water","alpha[18]1","alph"
"FRCH","2022",0.807762584412042,0.148244351394072,0.521616722545292,0.707365183135206,0.804525563463653,0.907397493503126,1.10472849102848,1.00662380650149,330,"soil_water","alpha[19]1","alph"
"FRCH","2022",-4.03883875933719,0.139849038507533,-4.30971530107893,-4.13104235674117,-4.04066983277478,-3.94765662043761,-3.76251174275196,1.00800315476379,270,"soil_water","alpha[20]1","alph"
"FRCH","2022",-6.16421260132002,0.15006617132321,-6.46537365872256,-6.2629499776187,-6.16274773130201,-6.06332592327073,-5.87207773200647,1.00783493746107,370,"soil_water","alpha[21]1","alph"
"FRCH","2022",0.869390858041505,0.148473965120276,0.581375840942237,0.767667134893142,0.869882473622133,0.969102008964365,1.16326587154164,1.00341853967463,850,"soil_water","alpha[22]1","alph"
"FRCH","2022",2.29981311638313,0.141219137017276,2.01942759879947,2.20599489200573,2.29938987462373,2.39583143040073,2.5698958122606,1.001090168859,3000,"soil_water","alpha[23]1","alph"
"FRCH","2022",-2.80537896362491,0.143337875422073,-3.08484774544048,-2.90310095181336,-2.80692760398665,-2.70968342258071,-2.52003437297851,1.00123581651341,2700,"soil_water","alpha[24]1","alph"
"FRCH","2022",-2.89773123956702,0.143907795249487,-3.17786222286671,-2.99587452832877,-2.89952402585504,-2.79781319535423,-2.61430895922632,1.00565107041688,390,"soil_water","alpha[25]1","alph"
"FRCH","2022",-1.01607238078474,0.14375001305137,-1.30757051035526,-1.1118378957506,-1.01416087269119,-0.919253125254597,-0.731643384328444,1.00437289887882,520,"soil_water","alpha[26]1","alph"
"FRCH","2022",-0.0550489549113051,0.145793358528883,-0.338060893180238,-0.1504259490664,-0.0531858272058546,0.0437050903895606,0.227263871970456,1.00052511347354,3000,"soil_water","alpha[27]1","alph"
"FRCH","2022",3.35700015503525,0.147084039872015,3.07816774656182,3.25525255292174,3.35602920600931,3.45758678886192,3.65046571104808,1.00110099958623,3000,"soil_water","alpha[28]1","alph"
"FRCH","2022",-1.14725698628235,0.144631049002869,-1.42570233847946,-1.24660765517434,-1.14842347191934,-1.05023295642086,-0.865617547816811,1.00248734200851,1000,"soil_water","alpha[29]1","alph"
"FRCH","2022",-0.982889369574919,0.147968151235431,-1.2650769169551,-1.08440346254672,-0.984628830011576,-0.881907843570391,-0.69120206793371,1.00437301895234,520,"soil_water","alpha[30]1","alph"
"FRCH","2022",-0.225261576964716,0.145698693528556,-0.506410755028869,-0.322800446321459,-0.225977927629202,-0.127665881396214,0.055642344658406,1.00053382632546,3000,"soil_water","alpha[31]1","alph"
"FRCH","2022",-2.77117666622833,0.146238866991905,-3.05795518001767,-2.87177347799051,-2.77127892204506,-2.67351461770001,-2.48304695599527,1.00320537636775,860,"soil_water","alpha[32]1","alph"
"FRCH","2022",-2.76430038486708,0.146605273845458,-3.04726587251298,-2.86398926739001,-2.76010530563945,-2.66389704117009,-2.48056439071956,1.00177145172714,1600,"soil_water","alpha[33]1","alph"
"FRCH","2022",-3.48131576824927,0.142579648699407,-3.76608573303471,-3.57779469479309,-3.47999008977616,-3.38840775153185,-3.20591441159076,1.00842206769238,250,"soil_water","alpha[34]1","alph"
"FRCH","2022",1.04428246857359,0.146609273618024,0.745038262944312,0.949408100320981,1.04761223957388,1.14129455009216,1.33067869891144,1.00239552911141,1100,"soil_water","alpha[35]1","alph"
"FRCH","2022",-2.35043009064823,0.143659258077749,-2.6347259116814,-2.44781476639599,-2.35051620393,-2.25468388234094,-2.06242969714365,1.00464490642921,480,"soil_water","alpha[36]1","alph"
"FRCH","2022",-3.6483411663598,0.14749831600069,-3.94137577195099,-3.74448713429438,-3.65121990663998,-3.54855417317497,-3.35918861095649,1.00378933461983,610,"soil_water","alpha[37]1","alph"
"FRCH","2022",-3.29783098516764,0.152502834874597,-3.5812337721068,-3.40701585204958,-3.30192261335682,-3.19612217584416,-2.98866483213483,1.00097798518313,3000,"soil_water","alpha[38]1","alph"
