"Day","Site","Q"
2021-09-25,"POKE",220.568191817455
2021-09-25,"STRT",774.619108690357
2021-09-25,"VAUL",111.210062723613
2021-09-26,"FRCH",401.27902398128
2021-09-26,"MOOS",636.997573012916
2021-09-26,"POKE",197.063301652361
2021-09-26,"STRT",758.707008632637
2021-09-26,"VAUL",107.39721187379
2021-09-27,"FRCH",394.829255210378
2021-09-27,"MOOS",628.288700851227
2021-09-27,"POKE",NA
2021-09-27,"STRT",752.036319999465
2021-09-27,"VAUL",109.902825034357
2021-09-28,"FRCH",NA
2021-09-28,"MOOS",NA
2021-09-28,"POKE",NA
2021-09-28,"STRT",NA
2021-09-29,"FRCH",NA
2021-09-29,"POKE",NA
2021-09-29,"STRT",NA
2021-09-30,"STRT",NA
NA,"FRCH",NA
