"Site","Day","Q"
"POKE",2019-07-09,221.018975170863
"POKE",2019-07-10,217.696863724781
"POKE",2019-07-11,217.190381063842
"POKE",2019-07-12,238.081926916731
"POKE",2019-07-13,257.326004132578
"POKE",2019-07-14,239.897809584358
"POKE",2019-07-15,227.478714106026
"POKE",2019-07-16,221.313267593408
"POKE",2019-07-17,235.275909270492
"POKE",2019-07-18,276.329160031573
"POKE",2019-07-19,252.452699219828
"POKE",2019-07-20,244.105356342232
"POKE",2019-07-21,236.63719136061
"POKE",2019-07-22,233.565837401355
"POKE",2019-07-23,229.793911099812
"POKE",2019-07-24,229.161950712341
"POKE",2019-07-25,222.766171483667
"POKE",2019-07-26,275.623165684294
"POKE",2019-07-27,298.210193753668
"POKE",2019-07-28,277.147856669369
"POKE",2019-07-29,281.546571168395
"POKE",2019-07-30,290.236590517569
"POKE",2019-07-31,267.912266330825
"POKE",2019-08-01,299.662211725608
"POKE",2019-08-02,389.318709188283
"POKE",2019-08-03,1388.9709591434
"POKE",2019-08-04,1111.5857744421
"POKE",2019-08-05,701.158167416255
"POKE",2019-08-06,708.820846404028
"POKE",2019-08-07,636.650513893576
"POKE",2019-08-08,584.204632704346
"POKE",2019-08-09,533.06643988079
"POKE",2019-08-10,501.763402480649
"POKE",2019-08-11,480.19074783272
"POKE",2019-08-12,441.741593554259
"POKE",2019-08-13,655.88632263529
"POKE",2019-08-14,751.561861098472
"POKE",2019-08-15,612.959437131332
"POKE",2019-08-16,718.931174567723
"POKE",2019-08-17,731.382857680131
"POKE",2019-08-18,665.059252518151
"POKE",2019-08-19,623.309058690212
"POKE",2019-08-20,584.542059434265
"POKE",2019-08-21,577.154831815766
"POKE",2019-08-22,551.538003694526
"POKE",2019-08-23,526.143880374375
"POKE",2019-08-24,540.937302741017
"POKE",2019-08-25,595.833903318619
"POKE",2019-08-26,627.583658958371
"POKE",2019-08-27,NA
"POKE",2019-08-28,NA
"POKE",2019-08-29,NA
"POKE",2019-08-30,NA
"POKE",2019-08-31,NA
"POKE",2019-09-01,NA
"POKE",2019-09-02,NA
"POKE",2019-09-03,NA
"POKE",2019-09-04,NA
"POKE",2019-09-05,NA
"POKE",2019-09-06,NA
"POKE",2019-09-07,NA
"POKE",2019-09-08,NA
"POKE",2019-09-09,428.790139551519
"POKE",2019-09-10,418.822155841615
"POKE",2019-09-11,421.485571763622
"POKE",2019-09-12,423.322491842015
"POKE",2019-09-13,403.793872407783
"POKE",2019-09-14,391.72377978852
"POKE",2019-09-15,403.01720323569
"POKE",2019-09-16,398.532508546905
"POKE",2019-09-17,399.493015522648
"POKE",2019-09-18,412.192622356883
"POKE",2019-09-19,411.132031213915
"POKE",2019-09-20,415.81193754218
"POKE",2019-09-21,417.536461080888
"POKE",2019-09-22,426.191476653474
"POKE",2019-09-23,431.305896596399
"POKE",2019-09-24,429.74840693808
"POKE",2019-09-25,404.498962206712
"POKE",2019-09-26,402.293758811798
"POKE",2019-09-27,401.780517061504
"POKE",2019-09-28,412.089842202155
"POKE",2019-09-29,404.001112118883
"POKE",2019-09-30,444.09838323127
"POKE",2019-10-01,446.548749678833
"POKE",2019-10-02,464.96269636108
"POKE",2019-10-03,483.85933395785
"POKE",2019-10-04,543.684992376425
"POKE",2019-10-05,651.444727270482
"POKE",2019-10-06,548.860866765849
"POKE",2019-10-07,517.445639409341
"POKE",2019-10-08,512.414232403679
"POKE",2019-10-09,521.099527547042
